se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
6.983333333,1.4,,,0.74
7.883333333,0.95,28,472,0.09
7.016666667,1.43,,,0.8
7.8,0.83,29,474,0.07
17.03333333,1.54,27.3,346,1.23
7.533333333,0.72,28.5,472,0.12
6.7,0.74,,,0.38
6.683333333,0.69,,,0.41
16.05,1.68,27.5,319,1.38
15.63333333,1.82,27.6,313,0.94
6.666666667,0.69,,,0.52
16.1,0.46,29.5,334,0.04
16.06666667,0.39,28.9,306,0.13
6.716666667,0.66,,,0.34
6.766666667,0.73,27.8,291,0.35
6.766666667,0.74,27.8,291,0.48
16.03333333,0.41,28.3,306,0.08
15.98333333,0.39,28.1,308,0.18
6.8,0.72,28.1,292,0.2
15.96666667,0.45,28.6,308,0.1
5.683333333,0.48,,,0.25
15.9,0.45,28.1,308,0.19
5.8,0.52,,,0.29
5.916666667,0.79,28.3,476,0.1
6.016666667,0.82,28,470,0.42
16.4,0.31,28.5,,0.12
5.833333333,0.5,,,0.23
16.38333333,0.25,28.4,,0.04
5.766666667,0.53,,,0.3
5.833333333,0.54,,,0.26
16.51666667,1.27,28.3,310,0.84
16.51666667,1.06,28.3,307,0.24
16.46666667,0.31,28.6,,0.06
5.933333333,0.78,28.4,472,0.63
5.85,0.48,30.4,472,0.17
17.75,0.22,28.6,,0.05
16.55,0.63,28.7,308,0.22
5.866666667,0.77,27.5,,0.46
17.36666667,0.2,28.2,,0.06
16.51666667,0.65,28.8,305,0.25
16.48333333,0.83,28.2,305,0.46
0.183333333,0.12,27.9,,0.04
5.933333333,0.78,27.6,,0.49
16.5,0.48,28.7,317,0.09
16.23333333,0.15,27.9,,0.03
7.083333333,1.41,,,0.92
16.4,0.56,28.6,312,0.12
6.65,0.7,,,0.52
7.75,0.8,28.3,473,0.06
16.41666667,0.13,28.1,,0.04
6.75,0.58,27.4,292,0.58
6.716666667,0.58,27.3,289,0.26
6.016666667,0.84,28.4,472,0.76
16.5,1.37,28.1,313,1.12
16.5,1.06,28.3,311,0.68
16.5,0.91,28.2,309,0.22
5.216666667,0.48,28.6,484,0.04
6.466666667,0.51,27.7,307,0.41
6.483333333,1.45,28.1,304,1.01
16.66666667,1.54,27.4,321,0.74
15.93333333,0.24,27.4,,0.08
16.4,0.29,28.9,,0.1
16.5,0.21,28.7,,0.1
5.616666667,0.74,27.8,,0.36
5.65,0.72,27.7,,0.19
5.633333333,0.65,27.5,,0.4
5.616666667,0.71,27.6,,0.38
6.6,0.51,27.5,,0.36
6.766666667,0.92,27.3,312,0.39
7.133333333,0.76,28.4,291,0.23
6.55,0.52,28.1,,0.33
6.75,0.07,,,0.02
7.15,0.85,28.4,294,0.33
6.5,0.55,27.6,,0.24
7.166666667,0.78,28.4,290,0.51
6.75,1.14,27.6,316,0.99
7.116666667,0.74,29,295,0.01
7.2,1.03,27.6,312,0.68
6.766666667,0.1,,,0.05
6.583333333,0.95,27.7,,0.56
6.8,0.18,,,0.09
6.55,0.89,27.7,,0.52
6.8,0.13,,,0.04
6.45,0.96,28.2,,0.68
6.45,1.28,28.7,,0.83
6.85,0.49,28.2,313,0.09
6.116666667,1.01,28.4,,0.46
6.116666667,0.87,28.5,,0.42
16.11666667,0.66,,,0.01
6.9,0.6,27.3,309,0.33
16.53333333,0.63,28.2,297,0.55
6.016666667,0.84,29,,0.66
16.23333333,0.74,,,0.01
6,0.81,29.1,,0.52
16.3,0.68,,,0.2
6.933333333,0.7,27.3,309,0.45
16.38333333,0.71,,,0.18
7.016666667,0.76,27.5,310,0.48
16.36666667,0.72,,,0.4
16.31666667,0.77,,,0.58
16.33333333,0.89,,,0.46
6.616666667,0.24,27.8,306,0.07
6.183333333,0.23,28.2,,0.15
6.583333333,0.31,28.2,306,0.31
16.36666667,0.86,,,0.44
15.91666667,0.85,,,0.56
6.366666667,0.58,28.7,308,0.23
16.01666667,0.95,,,0.61
6.516666667,0.36,28.7,,0.16
16.05,0.96,,,0.58
6.766666667,0.46,27.8,305,0.39
15.98333333,0.42,,,0.21
16.06666667,0.36,,,0.18
15.91666667,0.54,28.3,291,0.38
6.733333333,0.89,28.2,306,0.71
15.61666667,0.66,27.7,289,0.24
16.28333333,0.37,28.3,293,0.02
16.38333333,0.4,28,294,0.14
16.16666667,0.93,,,0.63
16.38333333,0.33,28.7,291,0.13
16.2,0.91,,,0.52
16.38333333,0.33,28.2,299,0.22
16.6,1.12,28.5,473,0.25
6.55,0.44,28.3,,0.34
16.51666667,1.07,28.5,468,0.08
6.183333333,0.62,29.2,310,0.54
6.283333333,0.73,28.2,308,0.26
6.35,0.64,28.8,,0.15
6.183333333,1.35,27.8,,0.8
6.15,1.19,28,,0.82
5.966666667,0.57,28.1,305,0.18
6.133333333,1.09,28.2,,0.84
16.68333333,0.38,28.2,293,0.26
16.68333333,0.44,28.7,286,0.05
6.716666667,0.87,27,318,0.45
6.466666667,0.59,28.2,,0.27
6.616666667,0.36,28,326,0.01
6.55,0.54,28.2,313,0.05
6.033333333,0.93,29,,0.42
6.8,0.09,,,0.03
6.683333333,0.37,28.2,,0.13
6.65,0.25,28.2,,0.26
6.416666667,0.6,28.4,,0.41
7.116666667,0.74,28.3,299,0.55
6.133333333,1.19,28,,0.49
6.733333333,0.6,27.9,306,0.32
6.016666667,1.12,28.2,,0.57
6.583333333,0.51,28.8,307,0.58
6.533333333,0.57,28.3,,0.27
6.116666667,0.6,27.7,308,0.38
6.433333333,0.66,28.2,307,0.22
6.433333333,0.89,28.4,,0.57
16.83333333,0.64,28.1,302,0.43
